EN_YEAR,EN_QUARTER,EN_MONTH,TOTAL,EN_DLI_PROVINCE_TERRITORY,EN_ADMIN_TYPE,EN_DESIGNATED_LEARNING_INSTITUTION
2025,Q2,Apr,95,Ontario,Public Institution,Canadore College of Applied Arts and Technology College Drive Campus North Bay ON
2016,Q1,Feb,290,Ontario,Public Institution,University of Toronto
2022,Q3,Aug,85,Ontario,Private Institution,King's University College at Western University
2023,Q4,Dec,385,Ontario,Public Institution,Sheridan College at Canadian College of Technology and Trades
2024,Q2,May,335,Ontario,Public Institution,St Lawrence College
2016,Q4,Oct,15,Ontario,Private Institution,International Institute of Travel and Business
2025,Q4,Nov,35,Ontario,Private Institution,NewCastle College of Business and Technology
2019,Q4,Nov,75,Ontario,Public Institution,St Lawrence College
2016,Q3,Jul,45,Ontario,Public Institution,Cambrian College of Applied Arts and Technology
2024,Q4,Nov,10,Ontario,Private Institution,CCEC Canadian Career Education College Ltd
2024,Q1,Jan,560,Ontario,Public Institution,Cambrian College of Applied Arts and Technology
2024,Q4,Dec,440,Ontario,Public Institution,Niagara College Canada
2023,Q1,Mar,180,Ontario,Public Institution,McMaster University
2023,Q2,Jun,260,Ontario,Public Institution,The Sheridan College Institute of Technology and Advanced Learning
2018,Q2,Jun,315,Ontario,Public Institution,Western University
2023,Q3,Jul,465,Ontario,Public Institution,La Cité collégiale
2020,Q2,May,150,Ontario,Public Institution,Georgian College
2017,Q4,Dec,1405,Ontario,Public Institution,The Sheridan College Institute of Technology and Advanced Learning
2022,Q2,Apr,1445,Ontario,Private Institution,Niagara College Canada at Toronto school of Management
2020,Q3,Sep,270,Ontario,Public Institution,Toronto Metropolitan University
2020,Q4,Oct,40,Ontario,Public Institution,Durham College of Applied Arts and Technology
2019,Q3,Aug,10,Ontario,Private Institution,Flair College of Management and Technology
2017,Q3,Aug,5,Ontario,Private Institution,ILSC Toronto
2023,Q3,Sep,815,Ontario,Public Institution,Université d'Ottawa University of Ottawa
2022,Q3,Aug,15,Ontario,Private Institution,Anderson College of Health Business and Technology
2025,Q4,Nov,25,Ontario,Private Institution,North American School of Information Technology Inc NASIT
2015,Q2,Apr,195,Ontario,Public Institution,Humber College Institute of Technology and Advanced Learning Humber Lakeshore Campus
2023,Q1,Feb,410,Ontario,Public Institution,Seneca College of Applied Arts and Technology
2021,Q2,Apr,70,Ontario,Public Institution,Confederation College of Applied Arts and Technology
2022,Q1,Jan,--,Ontario,Private Institution,Avola College Of Hairstyling and Esthetics
2021,Q3,Jul,5,Ontario,Private Institution,NewCastle College of Business and Technology
2025,Q3,Jul,55,Ontario,Public Institution,Durham College of Applied Arts and Technology
2017,Q4,Dec,5,Ontario,Private Institution,Toronto International Business College
2019,Q2,Apr,40,Ontario,Public Institution,Wilfrid Laurier University
2019,Q4,Nov,25,Ontario,Public Institution,Brock University
2024,Q1,Jan,10,Ontario,Private Institution,CanNorth College of Health Business and Technology
2020,Q4,Oct,15,Ontario,Public Institution,Trent University
2022,Q1,Jan,5,Ontario,Public Institution,Fleming College at Trebas Institute Ontario Inc
2023,Q2,Jun,--,Ontario,Private Institution,MLC College of Business Technology and Healthcare
2019,Q4,Nov,--,Ontario,Public Institution,Université de Hearst
2022,Q2,Jun,--,Ontario,Private Institution,Academy of Learning College - Kingston
2021,Q2,Apr,--,Ontario,Private Institution,Academy of Learning Career and Business College - Brampton
2018,Q2,Apr,5,Ontario,Private Institution,CANADIAN COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY
2022,Q3,Aug,10,Ontario,Private Institution,Tyndale University
2016,Q4,Nov,--,Ontario,Private Institution,Academy of Learning College - Toronto
2016,Q3,Jul,--,Ontario,Private Institution,University of Trinity College
2023,Q1,Mar,--,Ontario,Public Institution,Nipissing University
2016,Q2,Apr,355,Ontario,Public Institution,Centennial College
2018,Q2,May,320,Ontario,Public Institution,University of Waterloo
2020,Q2,May,--,Ontario,Private Institution,Le Cordon Bleu Ottawa Culinary Arts Institute
2024,Q1,Jan,10,Ontario,Private Institution,Niagara University
2021,Q1,Feb,110,Ontario,Public Institution,Mohawk College of Applied Arts and Technology
2022,Q1,Jan,15,Ontario,Private Institution,Max the Mutt College of Animation Art and Design
2019,Q4,Oct,--,Ontario,Private Institution,ILSC Toronto
2024,Q2,Jun,10,Ontario,Private Institution,Tamwood Careers and Tamwood Language Centres
2024,Q4,Nov,--,Ontario,Private Institution,CanNorth College of Health Business and Technology
2024,Q3,Aug,10,Ontario,Public Institution,Sault College of Applied Arts and Technology at Trios College
2016,Q3,Sep,--,Ontario,Private Institution,Chellsey Institute of Beauty and Health Inc
2022,Q4,Dec,6255,Ontario,Public Institution,Conestoga College
2025,Q1,Mar,205,Ontario,Private Institution,Niagara College Canada at Toronto school of Management
2021,Q2,Jun,100,Ontario,Public Institution,Brock University
2023,Q4,Oct,75,Ontario,Private Institution,Toronto School of Management
2021,Q1,Mar,170,Ontario,Public Institution,Niagara College Canada
2016,Q2,Jun,270,Ontario,Public Institution,Western University
2018,Q2,Jun,10,Ontario,Private Institution,Toronto International Business College
2024,Q1,Feb,185,Ontario,Public Institution,Niagara College Canada
2015,Q4,Oct,50,Ontario,Public Institution,Georgian College
2016,Q1,Mar,140,Ontario,Public Institution,George Brown College
2021,Q4,Oct,5,Ontario,Private Institution,Canadian College for Higher Studies
2016,Q1,Feb,15,Ontario,Public Institution,Canadore College of Applied Arts and Technology College Drive Campus North Bay ON
2016,Q2,Jun,5,Ontario,Private Institution,Toronto International Business College
2025,Q1,Mar,25,Ontario,Public Institution,Sault College
2022,Q3,Aug,15,Ontario,Private Institution,Anderson College
2018,Q1,Mar,--,Ontario,Private Institution,Renison University College
2024,Q4,Oct,--,Ontario,Private Institution,Max the Mutt College of Animation Art and Design
2025,Q3,Aug,--,Ontario,Private Institution,Spectrum Airways
2024,Q2,Jun,--,Ontario,Private Institution,Mississauga Career College
2024,Q1,Feb,10,Ontario,Private Institution,Academy of Learning College - Toronto
2024,Q2,May,--,Ontario,Private Institution,MLC College of Business Technology and Healthcare
2018,Q1,Jan,--,Ontario,Private Institution,CultureWorks ESL Inc
2021,Q3,Sep,--,Ontario,Private Institution,Alpha College of Business and Technology
2019,Q2,Jun,--,Ontario,Private Institution,MLC College of Business Technology and Healthcare
2019,Q2,Apr,--,Ontario,Private Institution,Sprott Shaw Language College Ontario Corp
2016,Q2,Jun,--,Ontario,Private Institution,Ontario School of Commerce and Technology
2020,Q4,Nov,--,Ontario,Private Institution,Oxford College of Arts Business And Technology Inc
2023,Q3,Jul,--,Ontario,Private Institution,Dominion College Of Business Health And Technology Inc
2022,Q2,Jun,--,Ontario,Private Institution,Wycliffe College
2021,Q1,Jan,--,Ontario,Private Institution,CITY COLLEGE OF BUSINESS HEALTH TECHNOLOGY
2024,Q1,Jan,--,Ontario,Private Institution,Academy of Learning Career and Business College
2016,Q2,Apr,--,Ontario,Private Institution,Knox College
2015,Q1,Jan,--,Ontario,Private Institution,Toronto International Business College
2016,Q4,Oct,10,Ontario,Public Institution,La Cité collégiale
2015,Q4,Dec,--,Ontario,Private Institution,University of St Michael's college
2019,Q4,Oct,110,Ontario,Public Institution,University of Waterloo
2021,Q1,Jan,70,Ontario,Public Institution,Fleming College
2021,Q3,Sep,50,Ontario,Private Institution,Huron University College
2015,Q2,Apr,55,Ontario,Public Institution,The Algonquin College of Applied Learning and Technology
2019,Q3,Jul,5,Ontario,Private Institution,Pures College of Technology
2024,Q3,Jul,10,Ontario,Private Institution,CCEC Canadian Career Education College Ltd
2025,Q2,Jun,10,Ontario,Private Institution,King's University College at Western University
2015,Q2,Apr,15,Ontario,Public Institution,Lakehead University
2016,Q3,Jul,20,Ontario,Public Institution,Laurentian University
2021,Q4,Nov,--,Ontario,Private Institution,Academy of Learning Career and Business College - Owen Sound
2018,Q1,Feb,--,Ontario,Private Institution,CANADIAN COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY
2018,Q3,Aug,--,Ontario,Private Institution,Canadian Business College
2016,Q3,Sep,--,Ontario,Private Institution,Royal Crown College of Business and Technology
2023,Q3,Aug,--,Ontario,Private Institution,Canada College of Education
2015,Q3,Jul,--,Ontario,Private Institution,Toronto Art Therapy Institute
2025,Q4,Nov,--,Ontario,Private Institution,Canadian Care Academy Inc
2022,Q3,Aug,--,Ontario,Private Institution,International Centre for English for Academic Preparation Inc
2018,Q3,Sep,5,Ontario,Private Institution,Canadian Business College
2016,Q2,Apr,--,Ontario,Public Institution,Collège Boréal
2020,Q3,Sep,5,Ontario,Private Institution,MLC College of Business Technology and Healthcare
2018,Q2,May,--,Ontario,Private Institution,ILSC Toronto
2019,Q1,Mar,--,Ontario,Private Institution,University of St Michael's college
2021,Q2,Jun,--,Ontario,Private Institution,Regis College
2024,Q2,May,--,Ontario,Private Institution,Alpha College of Business and Technology
2023,Q3,Sep,355,Ontario,Public Institution,Fleming College
2019,Q3,Sep,345,Ontario,Private Institution,Yorkville University - Toronto Film School
2019,Q2,Jun,20,Ontario,Private Institution,Huron University College
2017,Q3,Aug,1325,Ontario,Public Institution,University of Waterloo
2020,Q4,Oct,10,Ontario,Private Institution,Flair College of Management and Technology
2019,Q1,Feb,10,Ontario,Private Institution,King's University College at Western University
2018,Q3,Sep,--,Ontario,Private Institution,CLLC Inc
2023,Q1,Mar,20,Ontario,Private Institution,IBT College
2019,Q4,Dec,5,Ontario,Public Institution,Nipissing University
2023,Q4,Nov,--,Ontario,Private Institution,Dan Robert College of Health Care
2018,Q4,Nov,--,Ontario,Private Institution,CLLC Inc
2020,Q4,Nov,10,Ontario,Private Institution,Eastview College Business Health Technology
2019,Q4,Dec,--,Ontario,Private Institution,Oxford College of Arts Business And Technology Inc
2015,Q3,Sep,5,Ontario,Private Institution,Regis College
2022,Q3,Aug,3450,Ontario,Public Institution,Centennial College
2017,Q3,Jul,155,Ontario,Public Institution,Fanshawe College
2025,Q1,Jan,50,Ontario,Public Institution,Mohawk College of Applied Arts and Technology at triOS College Business Technology Healthcare Inc
2020,Q1,Feb,65,Ontario,Public Institution,Lambton College
2021,Q4,Nov,195,Ontario,Private Institution,ILAC International College
2019,Q1,Jan,100,Ontario,Public Institution,McMaster University
2017,Q1,Jan,235,Ontario,Public Institution,University of Toronto
2016,Q4,Dec,280,Ontario,Public Institution,St Clair College
2023,Q4,Nov,10,Ontario,Public Institution,Université de l'Ontario français
2025,Q1,Mar,55,Ontario,Public Institution,Lambton College
2023,Q4,Nov,20,Ontario,Public Institution,OCAD University
2016,Q3,Aug,85,Ontario,Public Institution,Confederation College of Applied Arts and Technology
2020,Q1,Jan,15,Ontario,Private Institution,Academy of Learning College - Toronto
2024,Q4,Nov,60,Ontario,Public Institution,Mohawk College of Applied Arts and Technology at triOS College Business Technology Healthcare Inc
2017,Q4,Dec,--,Ontario,Private Institution,Brescia University College
2022,Q4,Oct,--,Ontario,Public Institution,Nipissing University
2019,Q3,Jul,--,Ontario,Public Institution,Loyalist College at Toronto Business College
2021,Q3,Jul,--,Ontario,Private Institution,Ontario School of Commerce and Technology
2023,Q3,Sep,--,Ontario,Private Institution,CLI College of Business Health and Technology
2015,Q4,Nov,--,Ontario,Private Institution,ILSC Toronto
2020,Q3,Sep,--,Ontario,Private Institution,Brantford Flying Club
2022,Q1,Feb,--,Ontario,Private Institution,Academy of Learning Career and Business College - Owen Sound
2019,Q1,Jan,--,Ontario,Public Institution,Nipissing University
2023,Q2,May,--,Ontario,Private Institution,Metalworks Institute of Sound and Music Production
2015,Q1,Feb,--,Ontario,Private Institution,Royal Canadian Institute of International Studies
2025,Q2,Jun,40,Ontario,Private Institution,Niagara College Canada at Toronto school of Management
2021,Q3,Sep,965,Ontario,Public Institution,St Lawrence College
2021,Q2,Jun,95,Ontario,Private Institution,ILAC International College
2016,Q2,Apr,85,Ontario,Public Institution,Carleton University
2015,Q2,Apr,15,Ontario,Public Institution,Laurentian University
2021,Q2,May,170,Ontario,Public Institution,Carleton University
2015,Q3,Sep,360,Ontario,Public Institution,Western University
2024,Q1,Jan,100,Ontario,Private Institution,ILAC International College
2022,Q2,May,--,Ontario,Private Institution,Niagara University
2022,Q3,Jul,85,Ontario,Public Institution,University of Guelph
2024,Q4,Dec,35,Ontario,Public Institution,Fanshawe College at ILAC International College
2023,Q1,Feb,60,Ontario,Public Institution,Fleming College at Trebas Institute Ontario Inc
2025,Q1,Feb,210,Ontario,Public Institution,York University
2015,Q1,Feb,--,Ontario,Private Institution,International Institute of Travel and Business
2024,Q2,Apr,--,Ontario,Private Institution,Tamwood Careers and Tamwood Language Centres
2020,Q1,Feb,5,Ontario,Public Institution,OCAD University
2019,Q1,Feb,--,Ontario,Public Institution,The Michener Institute for Applied Health Sciences
2019,Q3,Jul,--,Ontario,Private Institution,North American Business College of Sciences and Language
2024,Q3,Aug,3715,Ontario,Public Institution,University of Toronto
2023,Q3,Aug,3625,Ontario,Public Institution,Seneca College of Applied Arts and Technology
2020,Q4,Dec,85,Ontario,Public Institution,Queen's University
2023,Q3,Sep,415,Ontario,Public Institution,Carleton University
2021,Q2,Apr,515,Ontario,Public Institution,University of Toronto
2024,Q2,Jun,170,Ontario,Public Institution,Cambrian College of Applied Arts and Technology
2016,Q3,Jul,220,Ontario,Public Institution,George Brown College
2017,Q3,Sep,345,Ontario,Public Institution,Queen's University
2016,Q3,Aug,--,Ontario,Private Institution,BITTS International Career College
2021,Q4,Oct,315,Ontario,Public Institution,Fanshawe College
2020,Q1,Jan,5,Ontario,Private Institution,Tyndale University
2016,Q1,Feb,75,Ontario,Public Institution,Lambton College
2019,Q2,Apr,45,Ontario,Public Institution,Lakehead University
2021,Q4,Nov,--,Ontario,Private Institution,Pures College of Technology
2017,Q2,May,--,Ontario,Private Institution,McMaster Divinity College
2022,Q2,May,--,Ontario,Private Institution,Freedom College of Business Healthcare and Technology Inc
2022,Q1,Feb,70,Ontario,Public Institution,La Cité collégiale
2024,Q3,Aug,--,Ontario,Private Institution,IBT College
2015,Q1,Feb,--,Ontario,Private Institution,CDI College of Business Technology and Healthcare
2016,Q4,Oct,--,Ontario,Private Institution,Royal Canadian Institute of International Studies
2017,Q4,Nov,--,Ontario,Private Institution,Academy of Learning Career and Business College - Etobicoke
2019,Q1,Jan,--,Ontario,Private Institution,Metalworks Institute of Sound and Music Production
2022,Q4,Dec,--,Ontario,Private Institution,Trillium Esthetic and Hair Technology College
2021,Q3,Jul,--,Ontario,Private Institution,Wilfrid Laurier International College
2024,Q1,Jan,--,Ontario,Private Institution,Southern Ontario Dental College
2019,Q3,Jul,40,Ontario,Public Institution,Loyalist College of Applied Arts and Technology
2022,Q4,Oct,130,Ontario,Public Institution,McMaster University
2020,Q1,Feb,5,Ontario,Private Institution,Tamwood Careers and Tamwood Language Centres
2022,Q1,Mar,65,Ontario,Public Institution,Queen's University
2021,Q3,Jul,--,Ontario,Private Institution,Oxford College of Arts Business And Technology Inc
2017,Q3,Jul,10,Ontario,Private Institution,International Institute of Travel and Business
2022,Q2,May,45,Ontario,Private Institution,BITTS International Career College
2020,Q1,Jan,--,Ontario,Private Institution,Willis College of Business Technology Healthcare
2023,Q2,Apr,20,Ontario,Private Institution,CCEC Canadian Career Education College Ltd
2023,Q2,Apr,45,Ontario,Private Institution,Flair College of Management and Technology
2023,Q4,Oct,15,Ontario,Public Institution,Loyalist College of Applied Arts and Technology
2023,Q1,Feb,75,Ontario,Private Institution,ILAC International College
2022,Q2,Jun,15,Ontario,Private Institution,Flair College of Management and Technology
2022,Q4,Dec,--,Ontario,Private Institution,triOS College
2024,Q1,Feb,5,Ontario,Private Institution,Capital English Solutions and Mentora College of Business and Technology
2020,Q3,Sep,10,Ontario,Private Institution,CANADIAN COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY
2017,Q1,Mar,--,Ontario,Private Institution,Canadian All Care College
2020,Q4,Oct,--,Ontario,Private Institution,triOS College
2023,Q2,Apr,175,Ontario,Public Institution,Confederation College of Applied Arts and Technology
2020,Q2,Apr,495,Ontario,Public Institution,Centennial College
2016,Q4,Dec,220,Ontario,Public Institution,University of Waterloo
2016,Q2,Jun,--,Ontario,Private Institution,Institute for Christian Studies
2022,Q3,Jul,--,Ontario,Private Institution,Academie de Dessin de Mode RICHARD ROBINSON Academy of Fashion Design
2022,Q2,Jun,5,Ontario,Public Institution,Fanshawe College at ILAC International College
2021,Q2,Jun,--,Ontario,Private Institution,CanNorth College of Health Business and Technology
2016,Q2,Apr,--,Ontario,Private Institution,St George Internaional College
2023,Q2,Jun,--,Ontario,Private Institution,Sol Schools International
2018,Q4,Nov,5,Ontario,Private Institution,Certcana Systems Institute
2024,Q2,May,--,Ontario,Private Institution,ILSC Toronto
2017,Q2,Apr,--,Ontario,Public Institution,Royal Military College of Canada
2018,Q4,Oct,--,Ontario,Private Institution,The Automotive Training Centre Ontario Ltd
2025,Q3,Sep,--,Ontario,Public Institution,Royal Military College of Canada
2018,Q2,Jun,--,Ontario,Private Institution,Ace Acumen Academy
2020,Q3,Aug,--,Ontario,Private Institution,Gestalt Institute of Toronto
2020,Q3,Aug,--,Ontario,Private Institution,Royal Crown College of Business and Technology
2023,Q2,Apr,--,Ontario,Private Institution,Career College Group
2020,Q4,Nov,--,Ontario,Private Institution,Royal Canadian college of massage therapy
2022,Q4,Dec,270,Ontario,Public Institution,Sault College of Applied Arts and Technology at Trios College Business Technology Healthcare Inc
2025,Q1,Jan,195,Ontario,Public Institution,Durham College of Applied Arts and Technology
2017,Q4,Oct,80,Ontario,Public Institution,St Clair College
2018,Q3,Aug,585,Ontario,Public Institution,Carleton University
2021,Q1,Mar,55,Ontario,Public Institution,Toronto Metropolitan University
2023,Q3,Sep,45,Ontario,Public Institution,Sault College
2023,Q1,Feb,35,Ontario,Public Institution,University of Guelph
2024,Q1,Feb,100,Ontario,Public Institution,Toronto Metropolitan University
2021,Q1,Feb,55,Ontario,Public Institution,Brock University
2019,Q4,Dec,75,Ontario,Public Institution,McMaster University
2017,Q3,Jul,15,Ontario,Public Institution,Algoma University
2016,Q1,Feb,--,Ontario,Private Institution,Yorkville University - Toronto Film School
2016,Q4,Nov,--,Ontario,Private Institution,Canadian All Care College
2022,Q2,Apr,--,Ontario,Private Institution,Spectrum Airways
2022,Q4,Dec,--,Ontario,Private Institution,Canadore College at Stanford International College of Business and Technology
2018,Q3,Jul,5,Ontario,Private Institution,Toronto School of Management
2017,Q2,Jun,--,Ontario,Private Institution,Canada Christian College
2018,Q4,Dec,--,Ontario,Private Institution,Oakleaf College of Business And Technology
2022,Q4,Oct,5,Ontario,Private Institution,Dan Robert College of Health Care
2023,Q3,Sep,--,Ontario,Private Institution,University of Niagara Falls Canada
2015,Q1,Feb,--,Ontario,Private Institution,Citi College of Canadian Careers
2021,Q1,Feb,5,Ontario,Private Institution,Canadian College for Higher Studies
2025,Q1,Mar,--,Ontario,Public Institution,Nipissing University
2025,Q1,Mar,--,Ontario,Private Institution,Dan Robert College of Health Care
2020,Q4,Oct,--,Ontario,Private Institution,University of Trinity College
2018,Q2,May,--,Ontario,Private Institution,Flair College of Management and Technology
2024,Q2,Apr,--,Ontario,Private Institution,Trillium Esthetic and Hair Technology College
2025,Q3,Sep,--,Ontario,Private Institution,Emmanuel College of Victoria University
2024,Q4,Dec,470,Ontario,Public Institution,Durham College of Applied Arts and Technology
2019,Q4,Dec,785,Ontario,Public Institution,Georgian College
2022,Q4,Dec,5,Ontario,Private Institution,Toronto Airways Inc
2025,Q1,Feb,--,Ontario,Private Institution,Pures College of Technology
2021,Q1,Mar,--,Ontario,Private Institution,Career College Group
2022,Q2,Apr,--,Ontario,Private Institution,CDI College of Business Technology and Healthcare
2020,Q2,Apr,--,Ontario,Private Institution,Canada College of Education
2023,Q3,Jul,--,Ontario,Private Institution,International Institute of Travel and Business
2021,Q4,Dec,--,Ontario,Private Institution,Certcana Systems Institute
2019,Q4,Oct,--,Ontario,Private Institution,Toronto College of Dental Hygiene and Auxiliaries Inc
2019,Q3,Aug,--,Ontario,Private Institution,Royal Canadian Institute of International Studies
2021,Q3,Aug,--,Ontario,Private Institution,Maple Wings Flight Centre
2022,Q2,May,595,Ontario,Public Institution,Canadore College of Applied Arts and Technology College Drive Campus North Bay ON
2024,Q3,Aug,55,Ontario,Public Institution,Georgian College at ILAC International College
2022,Q4,Nov,--,Ontario,Private Institution,Academy of Learning - Mississauga
2023,Q1,Jan,--,Ontario,Private Institution,Ontario College of Management and Technology
2021,Q3,Sep,--,Ontario,Private Institution,Toronto Baptist Seminary and Bible College
2017,Q2,May,5,Ontario,Private Institution,Willis College of Business Technology Healthcare
2022,Q3,Aug,--,Ontario,Private Institution,Knox College
2025,Q1,Feb,--,Ontario,Private Institution,North American Business College of Sciences and Language
2021,Q3,Sep,--,Ontario,Private Institution,Capital English Solutions and Mentora College of Business and Technology
2020,Q4,Nov,50,Ontario,Public Institution,Queen's University
2017,Q3,Sep,20,Ontario,Private Institution,Eastview College Business Health Technology
2022,Q2,Jun,5,Ontario,Private Institution,Dan Robert College of Health Care
2025,Q3,Aug,10,Ontario,Public Institution,Nipissing University
2024,Q3,Aug,--,Ontario,Private Institution,Dan Robert College of Health Care
2025,Q4,Dec,10,Ontario,Public Institution,Université de Hearst
2019,Q3,Sep,--,Ontario,Private Institution,Hansa Language Centre Inc
2023,Q3,Aug,--,Ontario,Private Institution,School of Photographic Arts Ottawa
2022,Q4,Dec,20,Ontario,Private Institution,King's University College at Western University
2022,Q3,Jul,--,Ontario,Private Institution,Le Cordon Bleu Ottawa Culinary Arts Institute
2024,Q4,Nov,--,Ontario,Private Institution,Canada's National Ballet School
2019,Q1,Jan,--,Ontario,Private Institution,Hansa Language Centre Inc
2019,Q1,Mar,25,Ontario,Public Institution,Algoma University
2020,Q3,Jul,225,Ontario,Public Institution,Canadore College of Applied Arts and Technology College Drive Campus North Bay ON
2022,Q2,May,625,Ontario,Public Institution,Lambton College
2025,Q2,Apr,235,Ontario,Public Institution,University of Toronto
2023,Q3,Jul,185,Ontario,Public Institution,Queen's University
2020,Q1,Jan,315,Ontario,Public Institution,Fanshawe College
2019,Q4,Nov,175,Ontario,Public Institution,York University
2023,Q4,Dec,2810,Ontario,Public Institution,The Sheridan College Institute of Technology and Advanced Learning
2025,Q2,Jun,20,Ontario,Public Institution,St Clair College
2015,Q1,Mar,45,Ontario,Public Institution,Fanshawe College
2015,Q2,Jun,35,Ontario,Public Institution,Georgian College
2015,Q1,Jan,--,Ontario,Private Institution,Oxford College of Arts Business And Technology Inc
2025,Q1,Feb,95,Ontario,Public Institution,St Lawrence College
2016,Q2,May,85,Ontario,Public Institution,Georgian College
2022,Q4,Oct,170,Ontario,Public Institution,The Algonquin College of Applied Learning and Technology
2020,Q2,May,120,Ontario,Public Institution,Lambton College
2019,Q3,Aug,1940,Ontario,Public Institution,Fanshawe College
2025,Q1,Mar,35,Ontario,Private Institution,Ontario College of Business and Technology
2023,Q1,Feb,10,Ontario,Private Institution,Toronto Metropolitan University International College
2024,Q3,Jul,10,Ontario,Public Institution,Sault College of Applied Arts and Technology at Trios College
2016,Q4,Oct,5,Ontario,Public Institution,Algoma University
2016,Q4,Dec,--,Ontario,Private Institution,Ontario College of Technology
2015,Q4,Dec,--,Ontario,Private Institution,Brescia University College
2025,Q4,Dec,--,Ontario,Public Institution,Algonquin College at CDI College Business Technology and Healthcare
2017,Q3,Sep,--,Ontario,Private Institution,Oxford College of Arts Business And Technology Inc
2020,Q4,Dec,--,Ontario,Private Institution,BAYSWATER TORONTO
2019,Q3,Jul,--,Ontario,Private Institution,Wycliffe College
2023,Q3,Sep,5,Ontario,Private Institution,Canadian Business College
2025,Q1,Mar,--,Ontario,Private Institution,St Clair College at Ace Acumen Academy
2019,Q4,Nov,--,Ontario,Public Institution,Loyalist College at Toronto Business College
2015,Q4,Oct,--,Ontario,Private Institution,International Language Academy of Canada
2022,Q2,May,--,Ontario,Public Institution,Université de Hearst
2019,Q4,Dec,--,Ontario,Private Institution,Stanford International College of Business and Technology
2021,Q1,Mar,--,Ontario,Private Institution,CRD College of Health Care
2023,Q4,Nov,--,Ontario,Private Institution,Spectrum Airways
2022,Q1,Jan,155,Ontario,Public Institution,Algoma University
2023,Q2,Apr,1035,Ontario,Public Institution,Niagara College Canada
2018,Q1,Feb,305,Ontario,Public Institution,Seneca College of Applied Arts and Technology
2015,Q1,Jan,275,Ontario,Public Institution,Centennial College
2022,Q3,Aug,825,Ontario,Public Institution,University of Windsor
2018,Q4,Nov,120,Ontario,Public Institution,McMaster University
2022,Q3,Sep,100,Ontario,Public Institution,Laurentian University
2016,Q3,Jul,25,Ontario,Private Institution,King's University College at Western University
2025,Q2,Apr,25,Ontario,Public Institution,Loyalist College of Applied Arts and Technology
2025,Q3,Aug,30,Ontario,Private Institution,NewCastle College of Business and Technology
2017,Q1,Feb,5,Ontario,Private Institution,Eastview College Business Health Technology
2022,Q4,Nov,10,Ontario,Private Institution,King's University College at Western University
2025,Q3,Jul,40,Ontario,Public Institution,Trent University
2024,Q2,May,70,Ontario,Public Institution,Algoma University
2015,Q4,Oct,--,Ontario,Public Institution,Nipissing University
2021,Q3,Jul,--,Ontario,Private Institution,Ontario College of Business and Technology
2015,Q1,Feb,--,Ontario,Private Institution,Algonquin Careers Academy
2020,Q3,Jul,--,Ontario,Private Institution,Anderson College of Health Business and Technology
2020,Q1,Jan,--,Ontario,Private Institution,RAC Digital Arts College
2015,Q4,Nov,15,Ontario,Public Institution,Durham College of Applied Arts and Technology
2019,Q1,Jan,--,Ontario,Private Institution,Anderson College Health Business and Technology
2024,Q1,Feb,5,Ontario,Private Institution,Atlantic Career College
2025,Q4,Nov,--,Ontario,Private Institution,Le Cordon Bleu Ottawa Culinary Arts Institute
2024,Q4,Nov,5,Ontario,Private Institution,Eastview College Business Health Technology
2018,Q1,Feb,5,Ontario,Private Institution,Central College of Business and Technology
2024,Q3,Aug,10,Ontario,Private Institution,CIMT College
2018,Q1,Jan,50,Ontario,Public Institution,Lakehead University
2022,Q3,Sep,--,Ontario,Private Institution,St Philip's Seminary
2024,Q1,Jan,--,Ontario,Private Institution,Harris Institute for The Arts
2022,Q1,Mar,--,Ontario,Private Institution,Toronto Airways Inc
2017,Q1,Jan,5,Ontario,Private Institution,Toronto International Business College
2019,Q4,Dec,10,Ontario,Private Institution,BITTS International Career College
2025,Q2,Jun,5,Ontario,Private Institution,Ontario College of Business and Technology
2024,Q1,Feb,--,Ontario,Private Institution,Sol Schools International
2021,Q3,Sep,--,Ontario,Private Institution,ILSC Toronto
2021,Q3,Jul,--,Ontario,Private Institution,Toronto International Business College
2019,Q3,Aug,--,Ontario,Private Institution,Aveda Institute Toronto
2015,Q2,Jun,--,Ontario,Private Institution,The Culinary Arts School of Ontario Ltd oa Chef School
2023,Q1,Jan,230,Ontario,Public Institution,Lambton College
2017,Q3,Jul,175,Ontario,Public Institution,Mohawk College of Applied Arts and Technology
2024,Q1,Jan,10,Ontario,Private Institution,Canadian Technical and Management College
2018,Q2,Apr,10,Ontario,Private Institution,Canadian College for Higher Studies
2020,Q1,Jan,10,Ontario,Private Institution,IBT College
2022,Q4,Oct,30,Ontario,Public Institution,Laurentian University
2025,Q1,Feb,15,Ontario,Private Institution,Canadian Business Skills College of Technology
2024,Q3,Jul,45,Ontario,Public Institution,Confederation College of Applied Arts and Technology
2023,Q3,Aug,--,Ontario,Private Institution,Toronto Institute of Pharmaceutical Technology
2018,Q4,Nov,20,Ontario,Private Institution,Yorkville University - Toronto Film School
2018,Q2,Jun,25,Ontario,Public Institution,La Cité collégiale
2015,Q1,Jan,10,Ontario,Public Institution,La Cité collégiale
2021,Q3,Jul,--,Ontario,Private Institution,Willis College of Business Technology Healthcare
2019,Q4,Dec,--,Ontario,Private Institution,Wycliffe College
