EN_YEAR,EN_QUARTER,EN_MONTH,TOTAL,EN_DLI_PROVINCE_TERRITORY,EN_ADMIN_TYPE,EN_DESIGNATED_LEARNING_INSTITUTION
2021,Q3,Jul,40,Ontario,Public Institution,Loyalist College of Applied Arts and Technology
2017,Q1,Jan,90,Ontario,Public Institution,St Lawrence College
2018,Q3,Jul,95,Ontario,Public Institution,Loyalist College of Applied Arts and Technology
2016,Q1,Mar,30,Ontario,Public Institution,Georgian College
2018,Q3,Aug,--,Ontario,Private Institution,Alpha College of Business and Technology
2020,Q1,Feb,--,Ontario,Private Institution,CIMT College
2016,Q3,Jul,--,Ontario,Private Institution,Redeemer University
2020,Q4,Dec,--,Ontario,Private Institution,Sprott Shaw Language College Ontario Corp
2023,Q2,Apr,--,Ontario,Private Institution,Mississauga Career College
2020,Q2,May,360,Ontario,Public Institution,The Sheridan College Institute of Technology and Advanced Learning
2024,Q1,Jan,790,Ontario,Public Institution,Humber College Institute of Technology and Advanced Learning Humber Lakeshore Campus
2021,Q1,Feb,165,Ontario,Public Institution,Université d'Ottawa University of Ottawa
2024,Q2,Apr,95,Ontario,Private Institution,North American Business College of Sciences and Language
2019,Q2,May,165,Ontario,Public Institution,Carleton University
2016,Q3,Aug,10,Ontario,Private Institution,CIMT College
2025,Q3,Aug,175,Ontario,Public Institution,Cambrian College of Applied Arts and Technology
2017,Q3,Jul,35,Ontario,Private Institution,King's University College at Western University
2017,Q4,Dec,160,Ontario,Public Institution,Loyalist College of Applied Arts and Technology
2019,Q2,Apr,205,Ontario,Public Institution,Algoma University
2020,Q4,Oct,--,Ontario,Private Institution,Emmanuel College of Victoria University
2015,Q4,Dec,25,Ontario,Public Institution,Wilfrid Laurier University
2022,Q4,Oct,--,Ontario,Private Institution,Oakleaf College of Business And Technology
2018,Q4,Nov,--,Ontario,Private Institution,Sol Schools International
2021,Q4,Oct,--,Ontario,Private Institution,triOS College
2017,Q1,Mar,5,Ontario,Private Institution,IBT College
2018,Q3,Jul,--,Ontario,Private Institution,Canadian Technology College Incorporated
2023,Q2,May,--,Ontario,Private Institution,Thompson Career College Of Health and Business
2021,Q2,Apr,--,Ontario,Private Institution,Metalworks Institute of Sound and Music Production
2018,Q4,Dec,5,Ontario,Private Institution,Queen's College of Business Technology and Public Safety
2018,Q1,Jan,--,Ontario,Private Institution,Toronto Airways Inc
2019,Q3,Aug,10,Ontario,Private Institution,International Institute of Travel and Business
2019,Q3,Sep,5,Ontario,Private Institution,Liaison College - Brampton
2022,Q4,Dec,5,Ontario,Private Institution,Tyndale University
2021,Q2,Jun,--,Ontario,Private Institution,Oxford College of Arts Business And Technology Inc
2020,Q3,Jul,--,Ontario,Public Institution,Université de Hearst
2025,Q4,Oct,5,Ontario,Private Institution,Greystone College of Business and Technology Toronto Inc
2024,Q3,Sep,--,Ontario,Private Institution,St Augustine's Seminary of Toronto
2019,Q1,Jan,5,Ontario,Private Institution,Pures College of Technology
2023,Q1,Mar,10,Ontario,Private Institution,CCEC Canadian Career Education College Ltd
2024,Q4,Dec,5,Ontario,Private Institution,Canada Christian College
2024,Q4,Dec,--,Ontario,Private Institution,A1-Global College of Health Business and Technology
2017,Q3,Aug,--,Ontario,Public Institution,The Michener Institute for Applied Health Sciences
2016,Q2,May,--,Ontario,Private Institution,Dan Robert College of Health Care
2019,Q4,Oct,--,Ontario,Private Institution,Anderson College of Health Business and Technology
2022,Q1,Feb,--,Ontario,Private Institution,Anderson College Health Business and Technology
2023,Q1,Feb,15,Ontario,Private Institution,BITTS International Career College
2025,Q3,Aug,15,Ontario,Private Institution,Anderson College of Health Business and Technology
2015,Q2,Jun,10,Ontario,Public Institution,Durham College of Applied Arts and Technology
2024,Q2,Apr,--,Ontario,Private Institution,Futures Canadian College of Business Health and Technology
2025,Q3,Aug,--,Ontario,Private Institution,Canadore College at Stanford International College of Business and Technology
2022,Q4,Nov,--,Ontario,Private Institution,Academy of Learning Career and Business College
