Geography and institutions,2015 / 2016,2016 / 2017,2017 / 2018,2018 / 2019,2019 / 2020,2020 / 2021,2021 / 2022,2022 / 2023,2023 / 2024
"Cégep de Sept-Îles, Quebec",57,42,39,36,48,51,57,87,93
"Cégep de Shawinigan, Quebec",42,51,60,54,60,45,66,72,120
"Cégep de Sherbrooke, Quebec",315,231,48,84,588,120,"1,203",810,318
"Cégep de Sorel-Tracy, Quebec",42,60,33,42,21,24,30,27,75
"Cégep de Trois-Rivières, Quebec",81,96,111,129,183,144,201,219,402
"Cégep de Valleyfield, Quebec",3,3,6,12,6,9,3,21,66
"Collège Vanier / Vanier College, Quebec",111,102,123,141,225,255,255,246,279
"Cégep de Victoriaville, Quebec",18,24,21,33,54,45,96,114,159
"Cégep du Vieux Montréal, Quebec",177,192,198,243,261,216,243,249,291
"Cégep Beauce-Appalaches, Quebec",39,27,42,51,84,69,123,105,153
"Collège Heritage / Heritage College, Quebec",9,9,15,24,27,15,15,15,12
"Cégep Marie-Victorin, Quebec",78,108,135,141,144,297,345,363,531
"Collège international des Marcellines, Quebec",6,6,3,6,9,0,..,..,..
"Collège Centennal / Centennial College, Quebec",3,6,21,9,12,12,9,6,3
"Collège Ellis, campus de Drummondville, Quebec",6,9,12,6,6,12,69,102,324
"Collège André-Grasset, Quebec",24,60,102,126,126,72,51,69,39
"Collège Bart, Quebec",12,12,9,9,15,9,18,18,30
"Conservatoire Lassalle, Quebec 23",3,..,..,..,..,..,..,..,..
"École de Musique Vincent d'Indy, Quebec",3,3,..,3,3,3,3,0,..
"Institut Teccart inc., Quebec",153,93,99,135,234,312,480,831,"1,779"
"Collège Jean-de-Brébeuf, Quebec",18,24,21,21,24,21,18,15,18
"Collège Laflèche, Quebec",24,21,36,42,39,18,21,30,48
"Collège LaSalle, Quebec",783,897,"1,095","1,605","1,872","1,398","1,035","1,014","1,737"
"Marianopolis College, Quebec",81,102,138,183,237,255,225,180,129
"Collège Mérici, Quebec",12,15,21,33,48,39,42,57,75
"Campus Notre-Dame-de-Foy, Quebec",24,18,18,18,15,12,9,18,51
"Collège O'Sullivan de Québec inc, Quebec",9,9,6,15,24,21,24,36,54
"Collège Nouvelles Frontières, Quebec",..,0,..,..,..,..,..,..,..
"Séminaire de Sherbrooke, Quebec",3,6,6,6,3,6,6,6,6
"Collège Universel - Campus Gatineau, Quebec",..,..,3,18,369,240,132,105,549
"Collège international Marie de France, Quebec",63,57,66,45,45,51,75,69,60
"Collège Stanislas inc., Quebec",36,42,54,57,63,81,69,48,66
"Institut de tourisme et d'hôtellerie du Québec, Quebec",9,15,12,24,27,24,27,27,30
"Collège Ellis, campus de Trois-Rivières, Quebec",6,6,6,9,12,..,..,..,..
"Collège O'Sullivan de Montréal inc, Quebec",15,12,12,12,24,18,24,30,81
"Collège d'Alma, Quebec",12,21,33,60,72,78,87,117,183
"Cégep Gérald-Godin, Quebec",12,9,15,18,18,12,24,36,54
"École nationale de Cirque, Quebec",42,51,57,69,81,63,63,66,51
"Cégep de Lanaudière à L'Assomption, Quebec",6,9,6,9,9,12,15,12,15
"École de sténographie judiciaire du Québec, Quebec",..,..,..,..,..,..,..,..,..
"Cégep de Lanaudière à Terrebonne, Quebec",..,..,3,6,3,6,6,6,12
"Collège TAV, Quebec",9,21,33,66,144,210,231,387,414
"Collégial international Sainte-Anne, Quebec",3,15,30,24,21,21,36,42,33
"Collége Décarie, Quebec",..,..,..,..,..,..,..,..,21
Ontario 24,"96,492","113,115","140,115","166,989","192,903","191,886","213,564","256,335","322,866"
"Brock University, Ontario","1,818","1,902","2,019","2,226","2,583","2,484","2,526","2,439","2,310"
"Carleton University, Ontario","3,858","4,092","4,353","4,476","4,683","4,602","4,473","4,515","4,269"
"Collège dominicain de philosophie et de théologie, Ontario 25",..,..,..,..,..,..,..,..,..
"University of Guelph, Ontario","1,161","1,269","1,431","1,503","1,755","1,779","1,917","2,133","2,286"
"Lakehead University, Ontario",621,879,"1,095","1,329","1,524","1,329","1,494","1,560","1,941"
"Laurentian University, Ontario 26",618,618,621,495,681,717,561,621,"1,413"
"McMaster University, Ontario","2,589","3,099","3,759","4,440","5,376","5,823","6,516","6,789","6,627"
"Nipissing University, Ontario",60,90,60,66,78,54,84,135,327
"University of Ottawa-Université d'Ottawa, Ontario","5,178","5,775","6,459","7,323","8,529","8,892","9,933","10,860","10,980"
