date,city,study_permit_inflow_proxy
2017-02-01,Hamilton,85
2017-02-01,Kitchener-Cambridge-Waterloo,185
2017-02-01,London,120
2017-02-01,Oshawa,25
2017-02-01,Ottawa,180
2017-02-01,Toronto,895
2017-02-01,Windsor,90
2017-03-01,Guelph,25
2017-03-01,Hamilton,80
2017-03-01,Kitchener-Cambridge-Waterloo,220
2017-03-01,London,205
2017-03-01,Oshawa,25
2017-03-01,Ottawa,195
2017-03-01,Toronto,1115
2017-03-01,Windsor,60
2017-04-01,Guelph,15
2017-04-01,Hamilton,110
2017-04-01,Kitchener-Cambridge-Waterloo,385
2017-04-01,London,405
2017-04-01,Oshawa,45
2017-04-01,Ottawa,195
2017-04-01,Toronto,1675
2017-04-01,Windsor,180
2017-05-01,Guelph,65
2017-05-01,Hamilton,185
2017-05-01,Kitchener-Cambridge-Waterloo,395
2017-05-01,London,335
2017-05-01,Oshawa,50
2017-05-01,Ottawa,355
2017-05-01,Toronto,2405
2017-05-01,Windsor,200
2017-06-01,Guelph,50
2017-06-01,Hamilton,240
2017-06-01,Kitchener-Cambridge-Waterloo,315
2017-06-01,London,270
2017-06-01,Oshawa,55
2017-06-01,Ottawa,370
2017-06-01,Toronto,2070
2017-06-01,Windsor,70
2017-07-01,Guelph,75
2017-07-01,Hamilton,405
2017-07-01,Kitchener-Cambridge-Waterloo,715
2017-07-01,London,445
2017-07-01,Oshawa,90
2017-07-01,Ottawa,485
2017-07-01,Toronto,3290
2017-07-01,Windsor,150
2017-08-01,Guelph,335
2017-08-01,Hamilton,1425
2017-08-01,Kitchener-Cambridge-Waterloo,2330
2017-08-01,London,1875
2017-08-01,Oshawa,535
2017-08-01,Ottawa,2210
2017-08-01,Toronto,10365
2017-08-01,Windsor,540
2017-09-01,Guelph,120
2017-09-01,Hamilton,645
2017-09-01,Kitchener-Cambridge-Waterloo,1300
2017-09-01,London,740
2017-09-01,Oshawa,215
2017-09-01,Ottawa,1195
2017-09-01,Toronto,5440
2017-09-01,Windsor,360
2017-10-01,Guelph,50
2017-10-01,Hamilton,185
2017-10-01,Kitchener-Cambridge-Waterloo,460
2017-10-01,London,325
2017-10-01,Oshawa,50
2017-10-01,Ottawa,415
2017-10-01,Toronto,2260
2017-10-01,Windsor,115
2017-11-01,Guelph,30
2017-11-01,Hamilton,170
2017-11-01,Kitchener-Cambridge-Waterloo,365
2017-11-01,London,395
2017-11-01,Oshawa,100
2017-11-01,Ottawa,375
2017-11-01,Toronto,2320
2017-11-01,Windsor,85
2017-12-01,Guelph,60
2017-12-01,Hamilton,565
2017-12-01,Kitchener-Cambridge-Waterloo,935
2017-12-01,London,1045
2017-12-01,Oshawa,285
2017-12-01,Ottawa,820
2017-12-01,Toronto,4560
2017-12-01,Windsor,645
2018-01-01,Guelph,45
2018-01-01,Hamilton,240
2018-01-01,Kitchener-Cambridge-Waterloo,445
2018-01-01,London,475
2018-01-01,Oshawa,85
2018-01-01,Ottawa,525
2018-01-01,Toronto,2670
2018-01-01,Windsor,135
2018-02-01,Guelph,30
2018-02-01,Hamilton,100
2018-02-01,Kitchener-Cambridge-Waterloo,265
2018-02-01,London,185
2018-02-01,Oshawa,30
2018-02-01,Ottawa,220
2018-02-01,Toronto,1210
2018-02-01,Windsor,70
2018-03-01,Guelph,20
2018-03-01,Hamilton,100
2018-03-01,Kitchener-Cambridge-Waterloo,405
2018-03-01,London,245
2018-03-01,Oshawa,35
2018-03-01,Ottawa,210
2018-03-01,Toronto,1475
2018-03-01,Windsor,60
2018-04-01,Guelph,50
2018-04-01,Hamilton,230
2018-04-01,Kitchener-Cambridge-Waterloo,1220
2018-04-01,London,735
2018-04-01,Oshawa,60
2018-04-01,Ottawa,460
2018-04-01,Toronto,3375
2018-04-01,Windsor,320
2018-05-01,Guelph,45
2018-05-01,Hamilton,295
2018-05-01,Kitchener-Cambridge-Waterloo,600
2018-05-01,London,510
2018-05-01,Oshawa,70
2018-05-01,Ottawa,545
2018-05-01,Toronto,3020
2018-05-01,Windsor,210
2018-06-01,Guelph,70
2018-06-01,Hamilton,595
2018-06-01,Kitchener-Cambridge-Waterloo,975
2018-06-01,London,620
2018-06-01,Oshawa,135
2018-06-01,Ottawa,750
2018-06-01,Toronto,3995
2018-06-01,Windsor,150
2018-07-01,Guelph,55
2018-07-01,Hamilton,430
