date,city,study_permit_inflow_proxy
2024-02-01,Ottawa,565
2024-02-01,Toronto,3115
2024-02-01,Windsor,60
2024-03-01,Guelph,50
2024-03-01,Hamilton,350
2024-03-01,Kitchener-Cambridge-Waterloo,1455
2024-03-01,London,690
2024-03-01,Oshawa,185
2024-03-01,Ottawa,710
2024-03-01,Toronto,4860
2024-03-01,Windsor,65
2024-04-01,Guelph,60
2024-04-01,Hamilton,760
2024-04-01,Kitchener-Cambridge-Waterloo,3435
2024-04-01,London,1310
2024-04-01,Oshawa,475
2024-04-01,Ottawa,1035
2024-04-01,Toronto,9000
2024-04-01,Windsor,280
2024-05-01,Guelph,65
2024-05-01,Hamilton,335
2024-05-01,Kitchener-Cambridge-Waterloo,1050
2024-05-01,London,470
2024-05-01,Oshawa,155
2024-05-01,Ottawa,490
2024-05-01,Toronto,3800
2024-05-01,Windsor,150
2024-06-01,Guelph,45
2024-06-01,Hamilton,340
2024-06-01,Kitchener-Cambridge-Waterloo,925
2024-06-01,London,595
2024-06-01,Oshawa,190
2024-06-01,Ottawa,565
2024-06-01,Toronto,3555
2024-06-01,Windsor,50
2024-07-01,Guelph,65
2024-07-01,Hamilton,430
2024-07-01,Kitchener-Cambridge-Waterloo,1215
2024-07-01,London,680
2024-07-01,Oshawa,275
2024-07-01,Ottawa,765
2024-07-01,Toronto,3540
2024-07-01,Windsor,95
2024-08-01,Guelph,305
2024-08-01,Hamilton,1185
2024-08-01,Kitchener-Cambridge-Waterloo,4320
2024-08-01,London,2435
2024-08-01,Oshawa,1090
2024-08-01,Ottawa,2370
2024-08-01,Toronto,11225
2024-08-01,Windsor,665
2024-09-01,Guelph,145
2024-09-01,Hamilton,600
2024-09-01,Kitchener-Cambridge-Waterloo,1835
2024-09-01,London,795
2024-09-01,Oshawa,370
2024-09-01,Ottawa,1025
2024-09-01,Toronto,5120
2024-09-01,Windsor,300
2024-10-01,Guelph,45
2024-10-01,Hamilton,390
2024-10-01,Kitchener-Cambridge-Waterloo,1160
2024-10-01,London,470
2024-10-01,Oshawa,210
2024-10-01,Ottawa,605
2024-10-01,Toronto,3500
2024-10-01,Windsor,50
2024-11-01,Guelph,40
2024-11-01,Hamilton,375
2024-11-01,Kitchener-Cambridge-Waterloo,1250
2024-11-01,London,570
2024-11-01,Oshawa,250
2024-11-01,Ottawa,595
2024-11-01,Toronto,3300
2024-11-01,Windsor,65
2024-12-01,Guelph,75
2024-12-01,Hamilton,560
2024-12-01,Kitchener-Cambridge-Waterloo,2685
2024-12-01,London,1510
2024-12-01,Oshawa,610
2024-12-01,Ottawa,995
2024-12-01,Toronto,5335
2024-12-01,Windsor,365
2025-01-01,Guelph,95
2025-01-01,Hamilton,505
2025-01-01,Kitchener-Cambridge-Waterloo,1805
2025-01-01,London,780
2025-01-01,Oshawa,270
2025-01-01,Ottawa,845
2025-01-01,Toronto,4530
2025-01-01,Windsor,160
2025-02-01,Guelph,15
2025-02-01,Hamilton,290
2025-02-01,Kitchener-Cambridge-Waterloo,860
2025-02-01,London,310
2025-02-01,Oshawa,105
2025-02-01,Ottawa,500
2025-02-01,Toronto,3150
2025-02-01,Windsor,40
2025-03-01,Guelph,50
2025-03-01,Hamilton,350
2025-03-01,Kitchener-Cambridge-Waterloo,975
2025-03-01,London,425
2025-03-01,Oshawa,115
2025-03-01,Ottawa,655
2025-03-01,Toronto,3175
2025-03-01,Windsor,60
2025-04-01,Guelph,40
2025-04-01,Hamilton,185
2025-04-01,Kitchener-Cambridge-Waterloo,745
2025-04-01,London,410
2025-04-01,Oshawa,110
2025-04-01,Ottawa,320
2025-04-01,Toronto,1870
2025-04-01,Windsor,125
2025-05-01,Guelph,45
2025-05-01,Hamilton,140
2025-05-01,Kitchener-Cambridge-Waterloo,500
2025-05-01,London,225
2025-05-01,Oshawa,60
2025-05-01,Ottawa,270
2025-05-01,Toronto,1865
2025-05-01,Windsor,65
2025-06-01,Guelph,45
2025-06-01,Hamilton,250
2025-06-01,Kitchener-Cambridge-Waterloo,525
2025-06-01,London,315
2025-06-01,Oshawa,75
2025-06-01,Ottawa,310
2025-06-01,Toronto,1870
2025-06-01,Windsor,55
2025-07-01,Guelph,40
2025-07-01,Hamilton,235
2025-07-01,Kitchener-Cambridge-Waterloo,655
2025-07-01,London,330
2025-07-01,Oshawa,95
2025-07-01,Ottawa,480
2025-07-01,Toronto,2345
2025-07-01,Windsor,70
2025-08-01,Guelph,320
2025-08-01,Hamilton,875
2025-08-01,Kitchener-Cambridge-Waterloo,1715
2025-08-01,London,1175
2025-08-01,Oshawa,390
2025-08-01,Ottawa,1605
2025-08-01,Toronto,9055
2025-08-01,Windsor,425
2025-09-01,Guelph,140
2025-09-01,Hamilton,540
2025-09-01,Kitchener-Cambridge-Waterloo,1190
2025-09-01,London,680
2025-09-01,Oshawa,230
2025-09-01,Ottawa,1005
2025-09-01,Toronto,4535
2025-09-01,Windsor,190
2025-10-01,Guelph,85
2025-10-01,Hamilton,560
2025-10-01,Kitchener-Cambridge-Waterloo,1190
2025-10-01,London,610
2025-10-01,Oshawa,235
2025-10-01,Ottawa,760
2025-10-01,Toronto,3810
2025-10-01,Windsor,60
2025-11-01,Guelph,80
2025-11-01,Hamilton,505
2025-11-01,Kitchener-Cambridge-Waterloo,1170
2025-11-01,London,570
2025-11-01,Oshawa,255
2025-11-01,Ottawa,895
2025-11-01,Toronto,4150
2025-11-01,Windsor,85
2025-12-01,Guelph,100
2025-12-01,Hamilton,430
2025-12-01,Kitchener-Cambridge-Waterloo,1120
2025-12-01,London,580
2025-12-01,Oshawa,285
2025-12-01,Ottawa,750
2025-12-01,Toronto,3950
2025-12-01,Windsor,235
