"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"fit1",0,0,53.3836615854198,5.84754871085578,11.6726574037797,2.37293531011705,-106.76732317084,11.6950974217116
"fit2",-4.03076180444347,2.25521505726524,49.3528997809763,5.88254354920984,14.7428487946316,2.68610281755815,-98.7057995619527,11.7650870984197
