"variable","mean","sd","q2_5","q97_5","posterior::rhat","posterior::ess_bulk","posterior::ess_tail"
"b_Intercept",4.79972552475824,0.0555556258218768,4.68716987595624,4.90347436037786,1.00070109193266,1181.52495334928,1434.1457930819
"b_policy_rate_z",0.0757368189552563,0.00483071886992227,0.0662606330749272,0.0852849564003379,1.00164180577363,4878.67921482454,2880.66174988809
"b_study_permit_inflow_proxy_z",0.0153873534357914,0.00628828068396565,0.0031031272543883,0.0277528469737029,1.00033679817819,4894.8285452789,2987.22075622924
"b_housing_starts_z",0.0991515550426889,0.0602545595931778,-0.018970523799442,0.225611517022407,1.00107054497175,1733.75207623496,2032.99620703075
"sd_city__Intercept",0.121249906730898,0.0573451376698095,0.0595702327116221,0.252871784612464,1.00045596386827,1190.36884770484,1922.28239859622
"sd_city__housing_starts_z",0.12518973168575,0.0589115406365974,0.0546544801239614,0.277600068875015,1.00088373675546,1383.2029498937,2046.84740296443
"cor_city__Intercept__housing_starts_z",0.490189209227777,0.325441024522531,-0.278782119927449,0.931006443706885,1.00042171008909,2211.53272016071,2129.01342025448
"sigma",0.118648322799905,0.00330773578265678,0.112478928581434,0.125200104079034,1.00109215259419,4760.41012392443,2910.64986713047
"Intercept",4.79972552475824,0.0555556258218768,4.68716987595624,4.90347436037786,1.00070109193266,1181.52495334928,1434.1457930819
"r_city[Hamilton,Intercept]",-0.0787721309112321,0.0606089840917635,-0.192786662773629,0.0394145175007573,1.0006470982956,1394.6724195864,1687.01058174719
"r_city[Kitchener-Cambridge-Waterloo,Intercept]",0.0409945516480519,0.0597121535093524,-0.0733623752403288,0.160349694066571,1.00097847795888,1282.18489485285,1750.16884997212
"r_city[London,Intercept]",0.0592473349524642,0.0610619650223268,-0.055283634811359,0.185050847790898,1.00048365239271,1306.69600017598,1947.07397251134
"r_city[Ottawa-Gatineau,Intercept]",0.114234063665522,0.0566040013735882,0.00851936697355528,0.228693284109146,1.00142854111752,1235.94198381424,1639.0251974246
"r_city[St..Catharines-Niagara,Intercept]",0.0175369335488485,0.068823366500443,-0.110397794644683,0.155683319896841,1.0011550530588,1673.35904944777,2161.64513558692
"r_city[Toronto,Intercept]",-0.134008503160249,0.0599819468459605,-0.254537542145405,-0.0166553932912549,1.0004924175207,1380.64173249926,1632.26140160568
"r_city[Hamilton,housing_starts_z]",-0.0430723665539817,0.0763533163973574,-0.200935760439251,0.104590161958897,1.00123720217173,2413.8349884152,2592.36082895113
"r_city[Kitchener-Cambridge-Waterloo,housing_starts_z]",-0.0360315511801523,0.0733721158176564,-0.194578745842332,0.102701425503283,1.00020867031659,2060.6937395866,2202.21837988173
"r_city[London,housing_starts_z]",0.0111338539701248,0.0802732501690238,-0.152373756841789,0.167660292632512,0.999925181016153,2685.81153306464,2614.48297249423
"r_city[Ottawa-Gatineau,housing_starts_z]",0.144819247842413,0.0692229414532386,0.0209242975594873,0.297099441440032,1.00113225319059,2242.08475213928,2268.98048830638
"r_city[St..Catharines-Niagara,housing_starts_z]",0.0382315829831058,0.0964534672168665,-0.141584839806611,0.241759130565447,1.00100395453979,2574.88982509961,2201.7571770861
"r_city[Toronto,housing_starts_z]",-0.105450392411577,0.0613554956307043,-0.234434456582314,0.0151240728399746,1.00065603702918,1750.91443957195,2081.44826518085
"lprior",-2.83187511870609,0.56185181229643,-4.36845278558061,-2.23221878524792,1.001075653965,2382.59088662538,2139.27993727621
"lp__",436.679662271919,3.8276128779079,428.256802257043,443.468470287917,1.00038794062355,1036.03085539667,1989.68626652045
