"parameter","Estimate","Est.Error","l.95..CI","u.95..CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",4.79972552475824,0.0555556258218768,4.68716987595624,4.90347436037786,1.00070109193266,1181.52495334928,1434.1457930819
"policy_rate_z",0.0757368189552563,0.00483071886992227,0.0662606330749272,0.0852849564003379,1.00164180577363,4878.67921482454,2880.66174988809
"study_permit_inflow_proxy_z",0.0153873534357914,0.00628828068396565,0.00310312725438831,0.0277528469737029,1.00033679817819,4894.8285452789,2987.22075622924
"housing_starts_z",0.0991515550426889,0.0602545595931778,-0.0189705237994419,0.225611517022407,1.00107054497175,1733.75207623496,2032.99620703075
"sigma",0.118648322799905,0.00330773578265678,0.112478928581434,0.125200104079034,1.00109215259419,4760.41012392443,2910.64986713047
"city_sd(Intercept)",0.121249906730898,0.0573451376698095,0.0595702327116222,0.252871784612464,1.00045596386827,1190.36884770484,1922.28239859622
"city_sd(housing_starts_z)",0.12518973168575,0.0589115406365974,0.0546544801239614,0.277600068875015,1.00088373675546,1383.2029498937,2046.84740296443
"city_cor(Intercept,housing_starts_z)",0.490189209227777,0.325441024522531,-0.278782119927449,0.931006443706885,1.00042171008909,2211.53272016071,2129.01342025448
