"city","2016","2017","2018","2019","2020","2021","2022","2023"
"Hamilton",39.576,35.197,43.313,38.081,41.154,50.898,42.252,44.513
"Kitchener-Cambridge-Waterloo",48.391,46.494,37.468,65.942,44.996,67.425,57.848,56.602
"London",37.465,47.474,32.605,40.654,51.356,67.747,40.795,26.291
"Ottawa-Gatineau",62.98,90.305,90.01,92.871,119.667,123.835,132.346,110.361
"St. Catharines-Niagara",23.396,26.624,22.542,33.523,29.579,31.822,37.665,33.297
"Toronto",467.819,470.927,496.33,364.498,463.615,502.331,541.956,571.046
