"city","2016","2017","2018","2019","2020","2021","2022","2023"
"Hamilton",4.59073313819032,4.6275022911945,4.64013506102394,4.64663197579568,4.67555098274989,4.75445188870385,4.75796280120578,4.74898188802017
"Kitchener-Cambridge-Waterloo",4.58104824386768,4.63521430733647,4.64198415911081,4.65894789166856,4.71872206067221,4.93806460126142,5.06706813613066,5.06037738599107
"London",4.59064858946907,4.65062144889201,4.69896406527445,4.72878801791675,4.75939229183588,4.88280192258637,4.9917355923734,4.98051967019163
"Ottawa-Gatineau",4.59738999866913,4.62856113877867,4.67795585571374,4.73099487477827,4.84030818215067,5.04294112884817,5.15338792897115,5.14029810227705
"St. Catharines-Niagara",4.57891176482572,4.63715323184114,4.6590268587788,4.6698649449199,4.70667327131861,4.82001271226292,4.86470995249359,4.84805100298534
"Toronto",4.57075125911763,4.64069819204724,4.63916895516022,4.63035048451839,4.63949109416599,4.70426108863233,4.74847656406067,4.7454392461341
